,time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
6943,1585573920,0.15749000000000002,0.15749000000000002,0.15749000000000002,0.15749000000000002,0.15507273159424706,235.41745753,13159.659991468272,7.067530612703294e-05,3.2637891090508964e-05,-3.803741503652398e-05,58.64750087320175,0.7795500505205648
6944,1585574040,0.15752,0.15752,0.15752,0.15752,0.15507493470190498,9470.0,11580.115762247273,6.464294832870832e-05,4.276627037436143e-05,-2.18766779543469e-05,59.96831930911661,0.790413267207433
6945,1585574160,0.15749000000000002,0.15749000000000002,0.15749000000000002,0.15749000000000002,0.15507700754505244,9036.62662828,12028.12209366127,5.5758208740584094e-05,4.782108297138321e-05,-7.937125769200878e-06,57.974157074976695,0.7453676987266085
6946,1585574280,0.15721,0.15721,0.15721,0.15721,0.15507702418440658,82.13330699999999,11732.228759011272,2.946990404614273e-05,2.8900254288477534e-05,-5.696497576651956e-07,43.45102979184521,0.491788485229748
6947,1585574340,0.15749000000000002,0.15749000000000002,0.15749000000000002,0.15749000000000002,0.15507816955126905,5000.0,11185.209246011269,2.9322182142995007e-05,3.608307792107857e-05,6.760895778083557e-06,55.465550981428315,0.7236257507663982
6948,1585574400,0.15745,0.15745,0.15745,0.15745,0.15507821944628686,221.59555135,11146.289023578769,2.507813132644048e-05,3.810855993613416e-05,1.3030428609693676e-05,53.70996039828147,0.6676236343962382
6949,1585574520,0.15736,0.15736,0.15736,0.15736,0.15507876850629285,2535.35015252,11156.09375874177,1.5241019737827114e-05,3.208170328197757e-05,1.6840683544150455e-05,49.88409889742998,0.5687714529680116
6950,1585574580,0.15734,0.15736,0.15734,0.15736,0.15507999802568248,5698.543875,10489.094954454771,8.122816034088409e-06,2.699420358676097e-05,1.887138755267256e-05,49.88409889742998,0.5525144897534356
6951,1585574700,0.15725,0.15725,0.15725,0.15725,0.15508025941311346,1270.0,10286.04142835477,-3.956537441750345e-06,1.3925715750484626e-05,1.788225319223497e-05,45.30921102453326,0.4144917761413692
6952,1585574760,0.15724000000000002,0.1573,0.15724000000000002,0.1573,0.15508143193567198,5622.90105396,10555.186481052771,-8.292379851909761e-06,7.516778377347766e-06,1.580915822925753e-05,47.65896623465376,0.4326956263658257
6953,1585575000,0.15755,0.15755,0.15755,0.15755,0.15508491593854176,14909.30752141,10469.96799192177,5.234985255517726e-06,2.2352889798654685e-05,1.711790454313696e-05,57.492850684134204,0.7410754346428284
6954,1585575060,0.15755,0.15755,0.15755,0.15755,0.1550849750290864,253.23325928,9738.689473390772,1.3283188390518615e-05,3.372189003128523e-05,2.043870164076661e-05,57.492850684134204,0.7381977873230501
6955,1585575120,0.15755,0.15755,0.15755,0.15755,0.15508571032870005,3152.151383,9630.172711640771,1.744498376962453e-05,4.224493135279728e-05,2.4799947583172746e-05,57.49285068413422,0.7286495312954562
6956,1585575240,0.1573,0.1573,0.15714,0.15714,0.15510549944811147,100160.060698,13241.954747499773,-7.252316943275369e-06,1.5734551404078534e-05,2.2986868347353908e-05,41.515866377877174,-0.11564846305936098
6957,1585575300,0.15727,0.15727,0.15727,0.15727,0.15510590518569645,2000.0,13134.954747499773,-1.4265198720463648e-05,5.155369946774346e-06,1.9420568667237994e-05,46.58451644264519,0.18789556335819554
6958,1585575360,0.15717,0.15717,0.15704,0.15704,0.155105990432813,459.98128899999995,12578.627983891274,-3.2768048162784994e-05,-2.153949153624324e-05,1.1228556626541747e-05,39.982281329252,-0.11322472899121905
6959,1585575480,0.15716,0.15717,0.15716,0.15717,0.15510622419778894,1210.542747,9982.517325531777,-3.4453592813279765e-05,-3.183843439005796e-05,2.6151584232218058e-06,44.74869906800056,0.1511825550077348
6960,1585575600,0.15709,0.15709,0.15709,0.15709,0.15510674328391366,2793.0,9122.167325531776,-3.883320028420938e-05,-4.592634193203993e-05,-7.093141647830542e-06,42.5112761658182,0.08222386464559946
