,time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
28,1583714100,2.5,2.5,2.4923,2.4932,2.5686896589685,4373.38229411,4894.4214830985,,-0.04019530018491402,,26.81473974956869,-0.020353882532425198
29,1583714160,2.5,2.5,2.4932,2.5,2.567455262140691,2588.28434738,5019.117116798001,,-0.0408513827416428,,29.73419288562639,0.07949612960709047
30,1583714220,2.5,2.5,2.5,2.5,2.566720923168126,1637.50576612,5058.492405104001,,-0.04089986471353413,,29.73419288562639,0.12390258772992604
31,1583714280,2.5002,2.5055,2.5,2.5047,2.565632585800144,2630.55743855,5183.260910598499,,-0.040096825065146564,,31.911452749399608,0.18173507941994232
32,1583714340,2.5027,2.5027,2.4866,2.4934,2.557063770117036,20872.87193134,6205.111240865501,,-0.03991214357350215,,29.541376975252124,0.14423674645500398
33,1583714400,2.5058,2.5085,2.5019,2.5019,2.555646378934016,4782.40814018,6439.472643839002,0.00015933807842759273,-0.03863454817607703,-0.03879388625450463,33.53991919577395,0.22121462009936987
34,1583714460,2.5019,2.5019,2.4959,2.4959,2.5554561544188164,590.62322242,6465.550972589501,0.0008975603248413262,-0.037671935848452964,-0.03856949617329429,32.152831965795414,0.20555283260806206
35,1583714520,2.4929,2.4929,2.48,2.48,2.551545821438004,10425.98815234,6961.404850047501,0.0006501420114183447,-0.03775681865902136,-0.038406960670439715,28.75861020659757,0.13745568217049287
36,1583714580,2.4801,2.4865,2.48,2.4865,2.547466190346083,12259.74408845,7548.317338267501,0.0012259472313110725,-0.036874526631300863,-0.038100473862611936,31.92252888692164,0.21031108876890828
37,1583714640,2.4898,2.4899,2.4898,2.4899,2.547180889232657,1005.42931832,7592.2616041655,0.002086919412737212,-0.035491824596690424,-0.037578744009427636,33.58408619756554,0.2578078062645885
38,1583714700,2.4925,2.4930000000000003,2.4925,2.4929,2.5470946161498373,322.54143999999997,7557.141350609001,0.003051211559602071,-0.033764729559925044,-0.03681594111952712,35.08949320083498,0.3006898692464319
39,1583714820,2.5091,2.5091,2.5019,2.502,2.5468609121084573,1117.25439879,7605.962451851501,0.004412046292354158,-0.03130088325408442,-0.03571292954643858,39.56435629467558,0.3857896807974313
40,1583714940,2.505,2.5053,2.505,2.5053,2.5464570724919167,2001.0,7606.012451851501,0.0055698906341624535,-0.028750566253735513,-0.03432045688789796,41.1488017515511,0.4345677553259131
41,1583715000,2.5054,2.5081,2.5054,2.5081,2.5464327125307737,128.17260082,7412.307047532001,0.0064952046785234155,-0.02620145103974369,-0.03269665571826711,42.52565281184194,0.4857651993069956
42,1583715060,2.5157,2.5309,2.515,2.5309,2.546300963414676,1314.60012136,7345.426420549501,0.008487816137135902,-0.022086885546847238,-0.030574701683983137,52.309787268734674,0.7848210098912963
43,1583715180,2.521,2.521,2.52,2.52,2.546296016200432,39.60982547,7315.8245861155,0.008874932232179326,-0.019481036393758974,-0.028355968625938307,48.094563031394365,0.7148663183797168
44,1583715300,2.5180000000000002,2.5180000000000002,2.5180000000000002,2.5180000000000002,2.5462929215807057,22.74071,6684.7592672505025,0.008783211113775953,-0.017376954733718364,-0.02616016584749432,47.34075443696924,0.7548195650656226
45,1583715360,2.5304,2.5304,2.5276,2.5276,2.546279962772197,151.83476346,5063.654981898003,0.009116438464686951,-0.014764617766635625,-0.023881056231322573,51.287435366881105,0.912004410030126
46,1583715480,2.5347,2.5347,2.5347,2.5347,2.5462756236691457,78.0,4762.467129501003,0.009518224588306305,-0.011983275495939694,-0.021501500084246002,54.03147125810014,1.0223305757017287
47,1583715540,2.5406,2.5406,2.5406,2.5406,2.5462709651135302,171.0,3325.677427955503,0.009843644574178072,-0.009196944366523407,-0.019040588940701483,56.23758751067717,1.0188609947719327
48,1583715600,2.5445,2.5445,2.5398,2.5398,2.546233097589272,1621.11851591,3188.0642390455027,0.009654126686249848,-0.0069729305828891705,-0.016627057269139017,55.84622048170585,0.938891703174862
49,1583715660,2.532,2.532,2.532,2.532,2.546227676341967,80.0,3062.6500216765025,0.008683063201606056,-0.005773228267131447,-0.014456291468737503,52.043345413204435,0.7968627822141001
50,1583715840,2.5272,2.5272,2.5193,2.5193,2.546118303492606,949.84811543,3028.267139142003,0.006940549820320553,-0.005780604193336814,-0.012721154013657364,46.492090759573976,0.6110256378064219
51,1583715960,2.5155,2.5155,2.5153,2.5153,2.546002141299631,800.0,2936.7392672145033,0.005345246778345825,-0.006039595540725085,-0.01138484231907091,44.86874575907985,0.5492369691111398
52,1583716020,2.5174,2.5174,2.5164,2.5164,2.5459194548661994,600.00006137,1923.0956737160031,0.004239127933516969,-0.006085932402174698,-0.01032506033569167,45.43300562457021,0.5498382320933067
53,1583716140,2.5251,2.5251,2.5239,2.5239,2.5458671577100964,515.0,1709.7252667070031,0.00389637606239235,-0.0054545902577012315,-0.009350966320093579,49.24713249010225,0.6400604261172294
54,1583716260,2.5227,2.5227,2.5227,2.5227,2.545856367348412,99.206349,1685.1544230360032,0.003485961136548267,-0.004993514899408247,-0.008479476035956512,48.66106000490343,0.6067332726382221
55,1583716500,2.5254,2.5254,2.5254,2.5254,2.545796560697177,624.55223,1195.0826269190034,0.0032955946257702358,-0.004359982753743719,-0.007655577379513954,50.09998534065433,0.6268331406106189
56,1583716620,2.5447,2.5454,2.5447,2.5454,2.5457950898268225,500.0,607.0954224965033,0.004349663782833176,-0.002218497650972484,-0.00656816143380566,59.218180357590725,0.91921904008377
