time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
1575158400,151.61,151.61,150.6,150.61,150.94000000000003,175.86197895,NaN,NaN,NaN,NaN,NaN,NaN
1575159300,150.79,150.95,150.5,150.55,150.8770019048703,52.67291289,NaN,NaN,NaN,NaN,NaN,NaN
1575160200,150.51,151.02,150.51,150.56,150.82834924992102,84.43659717,NaN,NaN,NaN,NaN,NaN,NaN
1575161100,150.58,150.69,150.43,150.56,150.7302345327152,180.38119909,NaN,NaN,NaN,NaN,NaN,NaN
1575162000,150.67,150.86,148.8,149.05,150.05146366799747,695.53208886,NaN,NaN,NaN,NaN,NaN,NaN
1575162900,149.19,149.76,148.18,148.5,149.6326055454734,607.82489409,NaN,NaN,NaN,NaN,NaN,NaN
1575163800,148.35,149.17,148,148.81,149.41376700813302,521.63243044,NaN,NaN,NaN,NaN,NaN,NaN
1575164700,148.64,149,148.25,148.51,149.39876146127153,42.83735258,NaN,NaN,NaN,NaN,NaN,NaN
1575165600,148.5,148.52,147.31,148.39,148.74646526982082,2288.09284144,NaN,NaN,NaN,NaN,NaN,NaN
1575166500,148.41,149,148.4,149,148.75285287099456,629.89407411,NaN,NaN,NaN,NaN,NaN,NaN
1575167400,148.95,148.99,148.07,148.07,148.73606174891341,246.6453532,NaN,NaN,NaN,NaN,NaN,NaN
1575168300,148.13,148.13,146.34,146.71,148.59342162262521,514.01549995,NaN,NaN,NaN,NaN,NaN,NaN
1575169200,146.75,147.58,146,146.71,148.29727539352038,1166.0623324,NaN,NaN,NaN,NaN,NaN,NaN
1575170100,146.75,147.22,146.67,147,148.22881622918263,389.8189212,NaN,NaN,NaN,NaN,NaN,NaN
1575171000,147,147.01,146.33,146.86,148.16869004196252,318.17943733,NaN,NaN,NaN,NaN,19.70920840064619,NaN
1575171900,146.85,147.41,146.85,147.41,148.05428926155025,1089.5342613,NaN,NaN,NaN,NaN,26.721106952477967,NaN
1575172800,147.09,147.48,147,147.19,148.00770045079534,534.77347854,NaN,NaN,NaN,NaN,25.75231432823503,NaN
1575173700,147.34,147.49,147.04,147.24,147.99971975848325,102.4440993,NaN,NaN,NaN,NaN,26.405376417845517,NaN
1575174600,147.24,147.82,147.05,147.82,147.99343901547766,140.78023893,NaN,NaN,NaN,NaN,33.69130191660797,NaN
1575175500,147.89,148.25,147.58,148.25,147.99384746444784,121.73394393,495.1576967849999,NaN,NaN,NaN,38.548608380749585,0.4731995440602044
1575176400,148.25,148.31,147.51,148.31,147.9968066294206,629.85476687,517.8573361809998,NaN,NaN,NaN,39.217675652528314,0.5072760827267777
1575177300,148.34,148.56,147.78,147.8,147.99884476366918,448.90906534,537.6691438034998,NaN,NaN,NaN,35.663300932523,0.42231890448198056
1575178200,147.75,147.83,147.36,147.79,147.9955254121172,108.64406829,538.8795173594997,NaN,NaN,NaN,35.59517898595273,0.44408482609710914
1575179100,147.83,147.96,147.47,147.87,147.99371323415127,88.519602,534.2864375049998,NaN,NaN,NaN,36.63790382194673,0.5018922729596995
1575180000,148.01,148.25,147.79,147.89,147.9936490697628,42.23777517,501.62172182049983,NaN,NaN,NaN,36.91289365671097,0.5309674901869997
1575180900,147.89,147.92,147.68,147.79,147.99276683164436,50.48376961,473.7546655964999,NaN,-0.3886574016522104,NaN,36.06997127073745,0.5072511985655184
1575181800,147.7,148.03,147.58,147.9,147.99212313265542,46.67318363,450.00670325599987,NaN,-0.359085300850154,NaN,37.75380677052448,0.5713445423434773
1575182700,147.99,148.06,147.36,147.41,147.99145335631732,19.87358977,448.8585151154999,NaN,-0.37091245491291147,NaN,33.51865114597196,0.38913584650150174
1575183600,147.4,147.98,147.37,147.88,147.9888761938455,119.00476122,340.40411110449986,NaN,-0.33845894365254026,NaN,40.42230179375969,0.6037372410805133
1575184500,147.89,147.99,147.72,147.72,147.98831312778117,36.17931891,310.7183733444998,NaN,-0.32193885427585656,NaN,38.93985168920473,0.5732400670919288
1575185400,147.72,147.82,147.72,147.77,147.9879182718862,20.82564968,299.4273881684999,NaN,-0.30133834146761274,NaN,39.684282345516664,0.6100600945771487
1575186300,147.77,147.77,146.64,146.99,147.98186674306234,82.11754248,277.8324902949999,NaN,-0.34398650560396504,NaN,32.937891848669295,0.16553201991866942
1575187200,147.01,147.46,146.52,147.3,147.97236517401228,125.3478226,225.7967648049999,NaN,-0.3487508905472225,NaN,37.48650008502147,0.3063716517685925
1575188100,147.35,147.63,147.21,147.21,147.9709671517557,26.39007874,207.62532268199988,-0.00804240196405065,-0.3556887888298661,-0.34764638686581545,36.70805460769014,0.23444169961988778
1575189000,147.23,147.43,146.8,146.95,147.9223241662375,662.70698547,224.8517000889999,-0.024132307605216563,-0.3778117713723361,-0.35367946376711956,34.48043243973518,0.053340249768800314
1575189900,147.06,147.28,146.97,146.98,147.91988791518708,35.85787432,172.16788073999987,-0.027813135232192754,-0.3884458828073605,-0.3606327475751677,34.97079936256419,0.11126951534462234
1575190800,146.97,147.12,146.88,146.89,147.91733482535741,33.30995513,147.0947045694999,-0.031117965994087005,-0.3995302050677765,-0.3684122390736895,34.145169567631854,0.08545806113869621
1575191700,146.9,147.19,146.85,146.97,147.9111794953427,84.61683731,146.20334146999988,-0.023093957527671072,-0.39727968598327834,-0.37418572845560727,35.600607629704015,0.1533454142184583
1575192600,146.97,146.97,146.44,146.61,147.8885356197049,234.12863559,150.8707613029999,-0.036417020171035375,-0.4197070036694015,-0.3832899834983661,32.15653332601302,0.028648796001544755
1575193500,146.3,147.65,146.05,147.65,147.8633698180729,431.35340678,166.35173444549991,0.027006134634684487,-0.3495323152050105,-0.376538449839695,47.85183464730557,0.5921462613061593
1575194400,147.59,147.99,146.98,146.98,147.86092521367806,59.42502407,137.8302473054999,0.0260178275676215,-0.3440161653801681,-0.3700339929477896,41.23364115577834,0.2400241742085491
1575195300,147.36,148,147.35,148,147.86024542528605,117.46040009,121.25781404299991,0.09250202470560148,-0.25440646206578776,-0.34690848677138925,52.09597047880508,0.8313746850866838
1575196200,148.04,148.45,147.84,148.38,147.87108265455763,412.4776589,136.4494935734999,0.1567373331769707,-0.15098682030017585,-0.30772415347714654,55.40321171591807,0.9870365888787294
1575197100,148.25,148.32,147.81,147.94,147.8738205073542,253.06122095,144.6765745209999,0.16350804036889643,-0.103339103016026,-0.26684714338492244,51.01166887949952,0.7512739693180245
1575198000,148.1,148.32,147.75,147.76,147.87468745163514,177.72619412,151.4509954684999,0.15012604178846267,-0.0791895911493441,-0.22931563293780677,49.29039877588213,0.662065359727114
1575198900,147.74,148.16,147.74,147.84,147.87482748954713,51.82558125,151.5180860504999,0.14106464910698407,-0.05298482155407669,-0.19404947066106076,50.09635951707873,0.7022964093818495
1575199800,147.87,147.9,147.43,147.62,147.87468111876078,9.31728979,149.6502913584999,0.11571952766145502,-0.049400061084242,-0.16511958874569702,47.844342538244724,0.5954977605554996
