,time,open,high,low,close,VWAP,Volume,Volume MA,Histogram,MACD,Signal,RSI,Bollinger Bands %B
0,1584316800,111.14,111.14,110.99,110.99,111.04,75.04164402,,,,,,
1,1584316860,111.02,111.02,110.22,110.22,110.74447286731932,86.02136734,,,,,,
2,1584316920,110.19,110.19,109.28,109.58,110.0449261660584,311.59660285,,,,,,
3,1584316980,109.37,109.55,109.12,109.32,109.89104525160258,129.63890783,,,,,,
4,1584317040,109.5,109.59,109.3,109.31,109.7724673874602,191.7463776,,,,,,
5,1584317100,109.33,109.57,109.0,109.04,109.6905926658273,133.42423795,,,,,,
6,1584317160,109.02,109.04,108.29,108.55,109.28633400361818,568.37349949,,,,,,
7,1584317220,108.51,109.05,108.11,108.99,109.13908186023473,521.44439364,,,,,,
8,1584317280,108.64,108.65,108.38,108.51,109.1178953495702,70.69460542,,,,,,
9,1584317340,108.66,108.89,108.22,108.73,109.03984363718969,382.10223914,,,,,,
10,1584317400,108.92,108.98,108.74,108.84,109.0317174670605,112.523022,,,,,,
11,1584317460,109.03,109.76,109.03,109.64,109.07130332587549,252.20512494,,,,,,
12,1584317520,109.6,109.66,109.15,109.15,109.08748236288004,197.25182647,,,,,,
13,1584317580,109.21,109.24,109.14,109.14,109.08821927993212,26.25159376,,,,,,
14,1584317640,109.01,109.01,108.51,108.73,109.06151800077801,262.13873409,,,,,29.074074074074076,
15,1584317700,108.64,109.19,108.24,109.06,109.03547735290265,420.80928519,,,,,33.4536220261962,
16,1584317760,109.2,109.52,109.2,109.28,109.03795705813877,31.40817789,,,,,36.278524877434094,
17,1584317820,109.29,109.29,109.0,109.0,109.0386810134245,47.10209202,,,,,34.283777961936394,
18,1584317880,109.0,109.22,109.0,109.22,109.04184186412789,115.18013098,,,,,37.20530860333547,
19,1584317940,109.17,109.61,109.13,109.61,109.0469288504045,49.66134718,199.23076049,,,,42.11788021812517,0.6617475353988478
20,1584318000,109.88,110.05,109.66,109.66,109.0952337594947,277.03774917,209.33056574750003,,,,42.73640154719285,0.7921659927199756
21,1584318060,109.73,109.73,109.5,109.7,109.10675043852874,91.46786034,209.6028903975,,,,43.25877801887419,0.8820622460008632
22,1584318120,109.62,109.62,109.43,109.43,109.11178509668535,57.44090297,196.8951054035,,,,40.56858588888245,0.7029867780371373
23,1584318240,109.42,109.42,109.41,109.41,109.11234013521029,8.13317938,190.819818981,,,,40.368322909687855,0.6840466409328044
24,1584318300,109.44,109.6,109.44,109.59,109.12015314000112,81.58057721,185.31152896150002,,,,43.091136492686914,0.7921000096453815
25,1584318360,109.56,109.56,109.41,109.41,109.12139569072559,16.51432189,179.46603315849998,,0.09753415015971713,,41.07153136753454,0.6548809297849117
26,1584318420,109.46,109.7,109.44,109.7,109.12328867917827,17.44786085,151.91975122649998,,0.11348659955439187,,45.50312841214739,0.8253602329687659
27,1584318480,109.7,109.98,109.65,109.65,109.16144012005735,289.00650691,140.29785688999996,,0.12070305877182365,,44.876499012037705,0.7622907158810668
28,1584318540,109.56,109.67,109.55,109.67,109.16537882637316,40.887809999999995,138.80751711899998,,0.1265768879732576,,45.20157304373165,0.7621327653311797
29,1584318600,109.42,109.42,109.26,109.34,109.16629898127451,25.76700421,120.99075537249996,,0.1034116329262531,,40.91422767075937,0.4816224816639262
30,1584318660,109.07,109.13,108.92,109.1,109.16239437962516,169.87599999999998,123.85840427249998,,0.06493843728627269,,38.08498199292514,0.24974163806163102
31,1584318720,109.1,109.46,109.1,109.46,109.1626110504582,6.1802364999999995,111.55715985049996,,0.06277352973602035,,44.30624737445546,0.588072856635755
32,1584318780,109.68,110.11,109.68,110.11,109.16277562218347,1.037097,101.74642337699996,,0.11221386108854857,,53.40913246337156,1.0648090313493634
33,1584318840,109.91,109.92,109.64,109.64,109.16569048898668,26.01919119,101.73480324849994,0.01064242294275333,0.11217749549763313,0.1015350725548798,47.37899012985074,0.6649709678511698
34,1584318900,109.68,109.68,109.68,109.68,109.16589237646437,2.0,88.72786654399995,0.010021150845399368,0.114061511111629,0.10404036026622962,47.91793832734577,0.6848991416313986
35,1584318960,109.66,109.66,109.66,109.66,109.16598933614014,1.0,67.73740228449995,0.006881554862987846,0.11264230384496444,0.1057607489819766,47.65512213447153,0.6465498753614554
36,1584319020,109.87,109.87,109.86,109.86,109.16632545782198,2.45747576,66.28986717799995,0.016352306651164692,0.12620113229593244,0.10984882564476776,50.57449644252488,0.8146603501338916
37,1584319080,109.84,109.95,109.84,109.9,109.17061614634329,30.13005532,65.44126534299997,0.022982411235074343,0.13857683968861068,0.11559442845353632,51.16116867457529,0.8396640789303359
38,1584319200,109.98,110.41,109.97,109.97,109.21382293675262,245.43594468,71.95405602799994,0.029346640496280742,0.15227772907388726,0.12293108857760653,52.229791145849525,0.8790470486829743
39,1584319260,109.97,110.01,109.8,109.81,109.22116374373836,60.49002311,72.49548982449996,0.020465651233844858,0.1485131526199126,0.12804750138606774,49.5604685141499,0.6880719292372548
40,1584319320,109.79,109.98,109.79,109.79,109.22479339864384,31.38297069,60.21275090049996,0.011382638057565621,0.14227579895802478,0.13089316090045916,49.221830865778244,0.6575472705336348
41,1584319380,109.78,109.78,109.71,109.76,109.22656104750862,18.45832448,56.562274107499974,0.001985026792826583,0.13337444439149235,0.1313894175986658,48.68446976727771,0.6213654146339089
42,1584319500,109.77,109.77,109.68,109.69,109.22708186443096,5.8742255,53.98394023399997,-0.009674360977951185,0.11929646637622683,0.128970827354178,47.384578722483404,0.5329690236697908
43,1584319560,109.57,109.58,109.29,109.29,109.23231170981435,186.02,62.87828126499996,-0.043177961305898654,0.07499837572180468,0.11817633702770332,40.69757355379226,0.113496631242784
44,1584319620,109.4,109.4,109.4,109.4,109.23235837324164,1.58,58.87825240449996,-0.0559713569258731,0.04821214087036197,0.10418349779623506,43.07661879653586,0.2469865798396407
45,1584319680,109.81,109.81,109.72,109.75,109.23658334754784,45.83104154,60.34408838699996,-0.03966953715922143,0.05459657634720827,0.0942661135064297,49.955901407133986,0.5935932211731316
46,1584319740,109.64,109.88,109.64,109.81,109.23831750266108,18.43735438,60.393563063499954,-0.02440267599349213,0.06376276851456453,0.08816544450805666,51.04807119889092,0.6498968252140245
47,1584319800,109.92,109.95,109.92,109.92,109.23975462419638,11.95532586,46.541004010999934,-0.007338319092314929,0.078992545642663,0.08633086473497792,53.07021471215738,0.7446737656297064
48,1584319860,109.81,109.81,109.81,109.81,109.24074393547258,10.0,44.996613510999936,-0.0040650289999823175,0.08124957848500003,0.08531460748498235,50.80986871815328,0.6243350501573933
49,1584319920,109.67,109.67,109.61,109.61,109.24111002094456,5.42605954,43.979566277499934,-0.01534162840179694,0.06613757198273618,0.08147920038453313,46.89869729678378,0.40277156274368814
50,1584320100,109.28,109.28,109.06,109.25,109.23845405377338,366.70339818,53.82093618649994,-0.045322538222419925,0.024826027606508202,0.07014856582892813,40.809290216124616,-0.029838683322993012
51,1584320160,109.3,109.62,109.3,109.56,109.23938019204071,22.37800162,54.630824442499936,-0.04259416462668771,0.016905860045568488,0.0595000246722562,47.1704331568151,0.3186804947596268
52,1584320220,109.72,109.72,109.45,109.45,109.23948316391035,2.11023,54.68448109249995,-0.04621360980833848,0.0017330124118331016,0.047946622220171584,45.30968200810396,0.20937486015046086
53,1584320280,109.28,109.41,109.28,109.41,109.24151462795872,100.0,58.38352153299996,-0.04904944089264921,-0.013365178895639929,0.03568426199700928,44.620389156414596,0.18686904478775634
54,1584320340,109.23,109.45,109.23,109.3,109.24215292630505,47.28441684,60.64774237499995,-0.055600901760206885,-0.033816865203249336,0.02178403655695756,42.69674428883549,0.10551953483299244
55,1584320400,109.39,109.39,108.78,108.78,109.23550438196185,166.3108999,68.91328736999995,-0.09017632545097087,-0.09093637025675604,-0.0007600448057851622,35.01237166298591,-0.20785624754826384
56,1584320460,109.04,109.04,109.04,109.04,109.23547418952774,1.0,68.84041358199995,-0.09052081741762256,-0.11391106657781334,-0.023390249160190803,40.7539072089795,0.07686600343752524
57,1584320520,109.35,109.52,109.25,109.25,109.24061407560283,334.87827976,84.07782480399995,-0.0723765336423152,-0.1138609162130848,-0.041484382570769605,44.98189412506528,0.2702674933447109
58,1584320580,109.25,109.72,109.25,109.67,109.25063954468986,230.63766365,83.33791075249994,-0.03002832659441504,-0.0790197908137884,-0.04899146421937337,52.311816555846946,0.630263872888962
59,1584320640,109.71,109.78,109.71,109.78,109.25072573763524,1.19948134,80.37338366399995,0.0055554325092346465,-0.042047173582830055,-0.0476026060920647,54.03889584273858,0.7266128649256982
60,1584320700,109.76,109.76,109.55,109.55,109.25077242052605,0.89034675,78.84875246699994,0.013323339586516006,-0.030948431608919687,-0.0442717711954357,49.96432949369275,0.5404108726076288
61,1584320760,109.43,109.51,109.43,109.51,109.25084149138878,2.09236592,78.03045453899992,0.015344592510845002,-0.025091030556879446,-0.04043562306772445,49.268565920546166,0.5166078393761141
62,1584320820,109.51,109.51,109.51,109.51,109.25676065528442,164.66779297,85.97013291249992,0.016175729647490596,-0.0202159610083612,-0.0363916906558518,49.268565920546166,0.5250175805105238
63,1584320880,109.51,109.79,109.51,109.79,109.27266131683812,270.36945703,90.18760576399993,0.034049433791793954,0.006170101583890642,-0.027879332207903312,54.421227882437286,0.753253759792055
